timeStamp,red,green,blue
61.018665,69898,6302,2118
62.016,69885,5347,2514
63.061333,27638,4907,2281
64.02133,24150,4707,2230
65.024,30322,4681,2306
66.048,43680,4751,2498
67.072,62136,4547,2507
68.010666,68704,4775,2550
69.013336,69306,5437,2702
70.016,69601,5475,2654
71.01867,69711,5805,2638
72.04266,69777,6649,2742
73.045334,69831,7945,2710
74.00867,69884,10841,2652
75.00867,69905,15414,2302
76.00867,69881,6332,2023
77.07733,69845,4497,1977
78.05867,19437,2391,2041
79.06133,17681,2358,2040
80.04266,19840,2416,2062
81.024,22757,3080,2117
82.026665,30503,4396,2268
83.029335,36447,2996,2084
84.05334,53755,3764,2163
85.03467,62307,3889,2129
86.05867,68675,4645,2173
87.01867,69334,5064,2304
88.02133,69521,5471,2354
89.045334,69633,5851,2344
90.026665,69715,6709,2224
